title,link,snippet
Knowledge graphs meet multi-modal learning: A comprehensive survey,https://arxiv.org/abs/2402.05391,"Knowledge Graphs (KGs) play a pivotal role in advancing various AI applications, with the semantic web community's exploration into multi-modal dimensions unlocking new avenues …"
Debiased learning from naturally imbalanced pseudo-labels,http://openaccess.thecvf.com/content/CVPR2022/html/Wang_Debiased_Learning_From_Naturally_Imbalanced_Pseudo-Labels_CVPR_2022_paper.html,"This work studies the bias issue of pseudo-labeling, a natural phenomenon that widely occurs but often overlooked by prior research. Pseudo-labels are generated when a …"
Zero-shot and few-shot learning with knowledge graphs: A comprehensive survey,https://ieeexplore.ieee.org/abstract/document/10144560/,"Machine learning (ML), especially deep neural networks, has achieved great success, but many of them often rely on a number of labeled samples for supervision. As sufficient …"
Does clip bind concepts? probing compositionality in large image models,https://arxiv.org/abs/2212.10537,"Large-scale neural network models combining text and images have made incredible progress in recent years. However, it remains an open question to what extent such models …"
Commonsense knowledge powered heterogeneous graph attention networks for semi-supervised short text classification,https://www.sciencedirect.com/science/article/pii/S0957417423013027,"In real-world scenarios, considerable human power and expert knowledge are required to label data. Therefore, solving short text classification problems in a semi-supervised manner …"
Zero-shot node classification with graph contrastive embedding network,https://openreview.net/forum?id=8wGXnjRLSy,"This paper studies zero-shot node classification, which aims to predict new classes (ie, unseen classes) of nodes in a graph. This problem is challenging yet promising in a variety …"
Fusing external knowledge resources for natural language understanding techniques: A survey,https://www.sciencedirect.com/science/article/pii/S1566253522002354,"Abstract Knowledge resources, eg knowledge graphs, which formally represent essential semantics and information for logic inference and reasoning, can compensate for the …"
Zero-shot surface defect recognition with class knowledge graph,https://www.sciencedirect.com/science/article/pii/S1474034622002713,"Convolutional neural networks (CNNs)-based methods achieve excellent performance on surface defects that belong to the same base classes from a training set, which plays an …"
Kvl-bert: Knowledge enhanced visual-and-linguistic bert for visual commonsense reasoning,https://www.sciencedirect.com/science/article/pii/S0950705121006705,"Abstract Reasoning is a critical ability towards complete visual understanding. To develop machine with cognition-level visual understanding and reasoning abilities, the visual …"
Deep semantic-visual alignment for zero-shot remote sensing image scene classification,https://www.sciencedirect.com/science/article/pii/S0924271623000527,"Deep neural networks have achieved promising progress in remote sensing (RS) image classification, for which the training process requires abundant samples for each class …"
Exploring hierarchical graph representation for large-scale zero-shot image classification,https://link.springer.com/chapter/10.1007/978-3-031-20044-1_7,"The main question we address in this paper is how to scale up visual recognition of unseen classes, also known as zero-shot learning, to tens of thousands of categories as in the …"
Part-object progressive refinement network for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/10471325/,"Zero-shot learning (ZSL) recognizes unseen images by sharing semantic knowledge transferred from seen images, encouraging the investigation of associations between …"
What can knowledge bring to machine learning?—a survey of low-shot learning for structured data,https://dl.acm.org/doi/abs/10.1145/3510030,"Supervised machine learning has several drawbacks that make it difficult to use in many situations. Drawbacks include heavy reliance on massive training data, limited …"
Benchmarking knowledge-driven zero-shot learning,https://www.sciencedirect.com/science/article/pii/S1570826822000415,External knowledge (aka side information) plays a critical role in zero-shot learning (ZSL) which aims to predict with unseen classes that have never appeared in training data …
A survey on knowledge-enhanced multimodal learning,https://link.springer.com/article/10.1007/s10462-024-10825-z,"Multimodal learning has been a field of increasing interest, aiming to combine various modalities in a single joint representation. Especially in the area of visiolinguistic (VL) …"
Disentangled action recognition with knowledge bases,https://arxiv.org/abs/2207.01708,"Action in video usually involves the interaction of human with objects. Action labels are typically composed of various combinations of verbs and nouns, but we may not have …"
Leveraging knowledge graphs for zero-shot object-agnostic state classification,https://arxiv.org/abs/2307.12179,"We investigate the problem of Object State Classification (OSC) as a zero-shot learning problem. Specifically, we propose the first Object-agnostic State Classification (OaSC) …"
Generalised zero-shot learning for entailment-based text classification with external knowledge,https://ieeexplore.ieee.org/abstract/document/9821074/,"Text classification techniques have been substantially important to many smart computing applications, eg topic extraction and event detection. However, classification is always …"
Multi-view graph representation with similarity diffusion for general zero-shot learning,https://www.sciencedirect.com/science/article/pii/S089360802300357X,Zero-shot learning (ZSL) aims to predict unseen classes without using samples of these classes in model training. The ZSL has been widely used in many knowledge-based models …
Exploring the impact of knowledge graphs on zero-shot visual object state classification,https://www.scitepress.org/Papers/2024/124348/124348.pdf,"In this work, we explore the potential of Knowledge Graphs (KGs) towards an effective Zero-Shot Learning (ZSL) approach for Object State Classification (OSC) in images. For this …"
Knowledge Graph Enhancement for Fine-grained Zero-shot Learning on ImageNet21K,https://ieeexplore.ieee.org/abstract/document/10517649/,Fine-grained Zero-shot Learning on the large-scale dataset ImageNet21K is an important task that has promising perspectives in many real-world scenarios. One typical solution is to …
CGUN-2A: Deep graph convolutional network via contrastive learning for large-scale zero-shot image classification,https://www.mdpi.com/1424-8220/22/24/9980,Taxonomy illustrates that natural creatures can be classified with a hierarchy. The connections between species are explicit and objective and can be organized into a …
Towards neural network interpretability using commonsense knowledge graphs,https://link.springer.com/chapter/10.1007/978-3-031-19433-7_5,"Convolutional neural networks (CNNs) classify images by learning intermediate representations of the input throughout many layers. In recent work, latent representations of …"
Tight lower bounds on worst-case guarantees for zero-shot learning with attributes,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7c9b9ecc92a679f1b6c76ed8f99f2636-Abstract-Conference.html,"We develop a rigorous mathematical analysis of zero-shot learning with attributes. In this setting, the goal is to label novel classes with no training data, only detectors for attributes …"
