title,link,snippet
"A survey on graph neural networks for time series: Forecasting, classification, imputation, and anomaly detection",https://ieeexplore.ieee.org/abstract/document/10636792/,Time series are the primary data type used to record dynamic system measurements and generated in great volume by both physical sensors and online processes (virtual sensors) …
A comprehensive survey on deep graph representation learning,https://www.sciencedirect.com/science/article/pii/S089360802400131X,"Graph representation learning aims to effectively encode high-dimensional sparse graph-structured data into low-dimensional dense vectors, which is a fundamental task that has …"
Spatio-temporal graph neural networks for predictive learning in urban computing: A survey,https://ieeexplore.ieee.org/abstract/document/10328393/,"With recent advances in sensing technologies, a myriad of spatio-temporal data has been generated and recorded in smart cities. Forecasting the evolution patterns of spatio-temporal …"
Long-term traffic flow forecasting using a hybrid CNN-BiLSTM model,https://www.sciencedirect.com/science/article/pii/S0952197623002257,The increase of road traffic in large cities during the last years has produced that long and short-term traffic flow forecasting is a critical need for the authorities. The availability of good …
Long-range transformers for dynamic spatiotemporal forecasting,https://arxiv.org/abs/2109.12218,Multivariate time series forecasting focuses on predicting future values based on historical context. State-of-the-art sequence-to-sequence models rely on neural attention between …
Graph neural networks for intelligent transportation systems: A survey,https://ieeexplore.ieee.org/abstract/document/10077454/,"Graph neural networks (GNNs) have been extensively used in a wide variety of domains in recent years. Owing to their power in analyzing graph-structured data, they have become …"
Do we really need complicated model architectures for temporal networks?,https://arxiv.org/abs/2302.11636,"Recurrent neural network (RNN) and self-attention mechanism (SAM) are the de facto methods to extract spatial-temporal information for temporal graph learning. Interestingly, we …"
Spatial–temporal complex graph convolution network for traffic flow prediction,https://www.sciencedirect.com/science/article/pii/S0952197623002282,Traffic flow prediction remains an ongoing hot topic in the field of Intelligent Transportation System. The state-of-the-art traffic flow prediction models can effectively extract both spatial …
Machine learning of spatial data,https://www.mdpi.com/2220-9964/10/9/600,"Properties of spatially explicit data are often ignored or inadequately handled in machine learning for spatial domains of application. At the same time, resources that would identify …"
Deep reinforcement learning for the dynamic and uncertain vehicle routing problem,https://link.springer.com/article/10.1007/s10489-022-03456-w,Accurate and real-time tracking for real-world urban logistics has become a popular research topic in the field of intelligent transportation. While the routing of urban logistic …
