title,link,snippet
Time series reconstruction and classification: a comprehensive comparative study,https://link.springer.com/article/10.1007/s10489-021-02926-x,"Time series approximation techniques can provide approximate results for the data in another new space by dimensionality reduction or feature extraction. In this study, we …"
Influence Propagation for Linear Threshold Model with Graph Neural Networks,https://ieeexplore.ieee.org/abstract/document/10411581/,"Influence propagation is a network phenomenon governing how information is diffused in a network. With the advent of deep learning, there has been growing interest in applying …"
Enhanced edge convolution-based spatial-temporal network for network traffic prediction,https://link.springer.com/article/10.1007/s10489-023-04626-0,"Accurately predicting network traffic is helpful for improving a variety of spatial-temporal data mining applications, such as intelligent traffic control, network planning and anomaly …"
SUSTeR: Sparse Unstructured Spatio Temporal Reconstruction on Traffic Prediction,https://dl.acm.org/doi/abs/10.1145/3589132.3625631,"Mining spatio-temporal correlation patterns for traffic prediction is a well-studied field. However, most approaches are based on the assumption of the availability of and …"
A traffic flow forecasting model using graph convolutional recurrent neural networks with incomplete data,https://ieeexplore.ieee.org/abstract/document/10422643/,"Traffic flow prediction is a fundamental problem for urban traffic control and management. In practice, incomplete data is a common challenge due to sparse sensor deployment, data …"
TCGPN: Temporal-Correlation Graph Pre-trained Network for Stock Forecasting,https://arxiv.org/abs/2407.18519,"Recently, the incorporation of both temporal features and the correlation across time series has become an effective approach in time series prediction. Spatio-Temporal Graph Neural …"
GA2T: A traffic flow prediction model combined with graph attention networks,https://www.jcad.cn/en/article/doi/10.3724/SP.J.1089.2023.19758,"Traffic flow prediction is the core component of the intelligent transportation system. In view of the low accuracy of the current traffic flow prediction methods, a new traffic flow prediction …"
Graph2RETA: Graph Neural Networks for Pick-up and Delivery Route Prediction and Arrival Time Estimation,https://link.springer.com/chapter/10.1007/978-3-031-70893-0_17,This research proposes an effective way to address the issues faced by pick-up and delivery services. The real-world variables that affect delivery routes are frequently overlooked by …
Long-term traffic flow estimation: a hybrid approach using location-basedtraffic characteristic,https://journals.tubitak.gov.tr/elektrik/vol30/iss3/7/,"Traffic speed estimation plays a key role in various situations, ranging from individual's trip planning to urban traffic management. Despite many studies on short-term prediction, there …"
Graph neural networks for traffic pattern recognition: An overview,https://ieeexplore.ieee.org/abstract/document/10112264/,This survey aims to provide an overview of the recent developments and applications of Graph Neural Networks (GNNs) in the field of traffic patterns recognition. The focus is on the …
