title,link,snippet
Intelligent Spatial Prediction and Interpolation Methods,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003308423-7/intelligent-spatial-prediction-interpolation-methods-di-zhu-guofeng-cao,Spatial prediction methods represent a set of tools for obtaining accurate data of geographic variables from limited observations. As an emerging subfield of GIScience that uses artificial …
A Fundamental Model with Stable Interpretability for Traffic Forecasting,https://dl.acm.org/doi/abs/10.1145/3615889.3628510,"Deep learning models have been widely applied in traffic prediction and analysis. Notably, attention-based models like Graph Attention Network (GAT) have brought significant insights …"
Modeling Environment Intelligent Transport System for Eco-Friendly Urban Mobility.,https://ceur-ws.org/Vol-3675/paper9.pdf,The research in this paper focuses on developing a modeling environment for urban mobility systems and traffic flow services. A modeling environment for urban mobility systems and …
An Efficient Two-stage Gradient Boosting Framework for Short-term Traffic State Estimation,https://arxiv.org/abs/2302.10400,Real-time traffic state estimation is essential for intelligent transportation systems. The NeurIPS 2022 Traffic4cast challenge provides an excellent testbed for benchmarking short …
"Fundamental problems in graph learning: optimization, generalization, privacy, and model design",https://etda.libraries.psu.edu/catalog/24108wxc272,"This dissertation extensively investigates various aspects of Graph Neural Networks (GNNs) in the context of graph representation learning, a field that has made significant strides in …"
On Rainbow Vertex Antimagic Coloring and Its Application on STGNN Time Series Forecasting on Subsidized Diesel Consumption.,https://www.iaeng.org/IJAM/issues_v54/issue_5/IJAM_54_5_22.pdf,"Let G=(V, E) be a simple, connected and un-directed graph. We introduce a new notion of rainbow vertex antimagic coloring. This is a natural expansion of rainbow vertex coloring …"
Faster abnormality localization and recognition in a secured video bitstream by implementation of video encryption techniques,https://www.matec-conferences.org/articles/matecconf/abs/2024/04/matecconf_icmed2024_01147/matecconf_icmed2024_01147.html,Cloud video storage uses an encrypted format to protect user data. It means encrypted video processing is an essential part of secured cloud storage. In order to detect suspicious or …
Neural ODE-Guided Imputation Computing for Building IoT Time Series with High Missing Gaps,https://ieeexplore.ieee.org/abstract/document/10580710/,Imputing missing data in Building Internet of Things (BIoT) poses a significant challenge due to the complex multi-dimensional variations and the inevitable occurrence of long-span …
Wavelet Decomposition Self-Supervised Neural Networks for Traffic Flow Forecasting,https://ieeexplore.ieee.org/abstract/document/10662847/,"Accurate traffic flow forecasting is of great significance for improving traffic flow efficiency, optimizing public traffic resources, and improving traffic management capability. However …"
Comparative Analysis of Two Graph Neural Network-Based Approaches to Traffic Speed Forecasting,https://ieeexplore.ieee.org/abstract/document/10420996/,Traffic forecasting is an important area of research in transportation technology since it can help planners and engineers make informed decisions about how to manage traffic and …
