title,link,snippet
"Traffic Flow Prediction Using Big Data and Geographic Information Systems: A Survey of Data Sources, Frameworks, Challenges, and Opportunities",https://www.researchgate.net/profile/Sayed-Sayed-14/publication/372788139_Traffic_Flow_Prediction_Using_Big_Data_and_Geographic_Information_Systems_A_Survey_of_Data_Sources_Frameworks_Challenges_and_Opportunities/links/64c8c447db38b20d6dad3416/Traffic-Flow-Prediction-Using-Big-Data-and-Geographic-Information-Systems-A-Survey-of-Data-Sources-Frameworks-Challenges-and-Opportunities.pdf,"Big Data has been utilized extensively in numerous fields, including transportation. Using several sources of data, traffic conditions can be accurately anticipated and forecasted to …"
The slow lane: a study on the diffusion of full-electric cars in Italy,https://www.econstor.eu/handle/10419/300345,"The transition to a zero-emission car fleet is a pivotal element of Europe's decarbonisation strategy. Italy's participation in this trajectory is significant, given the size of its car fleet …"
Foresight Plus: Scalable Serverless Real-Time Spatio-Temporal Traffic Forecasting,https://www.researchsquare.com/article/rs-3353187/latest,"Building a real-time, cost-effective, spatio-temporal forecasting system is a challenging problem with many practical applications such as traffic and road network management …"
图神经网络在交通预测中的应用综述,https://transport.chd.edu.cn/cn/article/doi/10.19818/j.cnki.1671-1637.2023.05.003,"为寻求提升交通预测时空计算任务性能的有效途径, 探索图神经网络技术在交通预测中的应用前景和挑战, 回顾了交通预测方法的发展, 总结了模型驱动方法, 统计模型, 传统机器学习方法和 …"
Unifying spatiotemporal and frequential attention for traffic prediction,https://www.researchsquare.com/article/rs-4961410/latest,"Urban traffic flow prediction is an essential task within intelligent transportation systems, and numerous methodologies have been proposed to address it. However, most existing …"
Explainable Spatially-Explicit GeoAI in Urban Analytics,https://www.researchgate.net/profile/Filip-Biljecki/publication/374291691_Explainable_Spatially-Explicit_GeoAI_in_Urban_Analytics/links/664b5326479366623afe50f2/Explainable-Spatially-Explicit-GeoAI-in-Urban-Analytics.pdf,"Geospatial artificial intelligence (GeoAI) is proliferating in urban analytics, where graph neural networks (GNNs) have become one of the most popular methods in recent years …"
Leveraging process mining for knowledge extraction and process optimization,https://theses.hal.science/tel-04188502/,"The automotive sector requires the mass production of electronic boards matching the highest quality standards and best-in-class performance. Nowadays, electronic boards are …"
Hardware-Software Codesign for Accelerating Graph Neural Networks on FPGA,https://search.proquest.com/openview/f3117d4ea8c40a83331ee7d4c12ddbad/1?pq-origsite=gscholar&cbl=18750&diss=y,Abstract Graph Neural Networks (GNNs) have revolutionized many real-world applications where data can be represented as graphs. These applications include recommendation …
Application of Graph Neural Networks in Road Traffic Forecasting for Intelligent Transportation Systems,https://repositorio-aberto.up.pt/bitstream/10216/151990/2/636674.pdf,"Traffic forecasting is a crucial aspect of Intelligent Transportation Systems, as it has the potential to improve the mobility and efficiency of transportation in cities while reducing costs …"
Short-Term Traffic Flow Prediction Based on Wavelet Analysis and XGBoost,http://amjce.com/article/10.11648/j.ijtet.20241001.12,Traffic flow prediction is of great significance for urban planning and alleviating traffic congestion. Due to the randomness and high volatility of urban road network short-term …
