title,link,snippet
A bilevel optimal control method and application to the hybrid electric vehicle,https://hal.science/hal-04359870/,In this article we present a new numerical method based on a bilevel decomposition of optimal control problems. A strong connection between the proposed method and the …
Improved Sparrow Search Algorithm Optimized Neural Network Analysis of Traffic Congestion,https://link.springer.com/chapter/10.1007/978-3-031-53404-1_10,"Accurate traffic congestion prediction is of great significance for applications such as traffic control and route optimization. However, the traffic situation is affected by many complex …"
Creating and Embedding Spatio-Temporal Knowledge Graphs.,https://iswc2023.semanticweb.org/wp-content/uploads/2023/11/ISWC2023_paper_372.pdf,"An important paradigm of spatial analysis is the first law of geography, formulated by Tobler, which states that every geographic object is related to each other, but near geographic …"
BoxNet: Fine-grained Action Classification in Boxing,https://ieeexplore.ieee.org/abstract/document/10327379/,The skeleton data is widely used in general action recognition since it is robustly distinguish the action operator and complex background. When it comes to more fine-grained scenario …
Training and evaluating deep learning models on road graphs for traffic prediction using SUMO,https://serwiss.bib.hs-hannover.de/frontdoor/index/index/docId/3109,"The escalation of traffic volume in urban areas poses multifaceted challenges including increased accident risks, congestion, and prolonged travel times. Traditional approaches of …"
Dynamic Deeper Graph Convolutional Network for Traffic Prediction,https://ieeexplore.ieee.org/abstract/document/10164956/,Graph convolutional networks (GCNs) are widely used in traffic prediction because they can better represent the structure of traffic network. GCNs can obtain deeper feature …
Multi-Spatial Scale Spatio-Temporal Transformer: A Refined Traffic Data Forecasting Method,https://www.researchsquare.com/article/rs-3190420/latest,Accurate traffic data forecasting is essential to improve the efficiency of intelligent transportation systems. Existing traffic prediction models only model spatial dependency …
Exploring the horizon of AI development: Navigating constraints of chips and power in the technological landscape,https://www.ewadirect.com/proceedings/ace/article/view/13822,"With the proliferation of AI technology, machine learning has emerged as a cornerstone of AI systems, facilitating pattern recognition and decision-making through robust data analysis …"
Use of Subgraph Mining in Histopathology Image Classification,https://search.proquest.com/openview/cc47ced0f0162898758828a05acdcb07/1?pq-origsite=gscholar&cbl=2026366&diss=y,Breast cancer is the most common cancer in women and has a high mortality rate. Computer vision techniques can be used to help experts to analyze the breast cancer biopsy samples …
Generalized Taxonomy-Guided Graph Neural Networks,https://www.ijcai.org/proceedings/2024/0289.pdf,"Graph neural networks have been demonstrated to be effective analytic apparatus for mining network data. Most real-world networks are inherently hierarchical, offering unique …"
