title,link,snippet
Bridging the gap between spatial and spectral domains: A unified framework for graph neural networks,https://dl.acm.org/doi/abs/10.1145/3627816,Deep learning's performance has been extensively recognized recently. Graph neural networks (GNNs) are designed to deal with graph-structural data that classical deep …
Ollivier–Ricci curvature based spatio-temporal graph neural networks for traffic flow forecasting,https://www.mdpi.com/2073-8994/15/5/995,"Traffic flow forecasting is a basic function of intelligent transportation systems, and the accuracy of prediction is of great significance for traffic management and urban planning …"
KaTaGCN: Knowledge-Augmented and Time-Aware Graph Convolutional Network for efficient traffic forecasting,https://www.sciencedirect.com/science/article/pii/S1566253524003208,Dynamic spatio-temporal dependencies and temporal patterns in traffic series are critical factors affecting traffic forecasting accuracy. Due to the intrinsic challenges of incorporating …
MPSTAN: Metapopulation-Based Spatio–Temporal Attention Network for Epidemic Forecasting,https://www.mdpi.com/1099-4300/26/4/278,Accurate epidemic forecasting plays a vital role for governments to develop effective prevention measures for suppressing epidemics. Most of the present spatio–temporal …
Enhancement of traffic forecasting through graph neural network-based information fusion techniques,https://www.sciencedirect.com/science/article/pii/S1566253524002446,"To improve forecasting accuracy and capture intricate interactions within transportation networks, information fusion approaches are crucial for traffic predictions based on graph …"
Spatio-Temporal Predictive Modeling Techniques for Different Domains: a Survey,https://dl.acm.org/doi/abs/10.1145/3696661,"Spatio-temporal prediction tasks play a crucial role in facilitating informed decision-making through anticipatory insights. By accurately predicting future outcomes, the ability to …"
A review of graph neural network applications in mechanics-related domains,https://link.springer.com/article/10.1007/s10462-024-10931-y,"Mechanics-related tasks often present unique challenges in achieving accurate geometric and physical representations, particularly for non-uniform structures. Graph neural networks …"
GRAPHITE—Generative Reasoning and Analysis for Predictive Handling in Traffic Efficiency,https://www.sciencedirect.com/science/article/pii/S1566253524000435,"Traffic forecasting is a crucial aspect of modern Intelligent Transportation Systems (ITS) and the Internet of Vehicles (IoV), playing a vital role in improving the safety and efficiency of …"
ADSTGCN: A Dynamic Adaptive Deeper Spatio-Temporal Graph Convolutional Network for Multi-Step Traffic Forecasting,https://www.mdpi.com/1424-8220/23/15/6950,Multi-step traffic forecasting has always been extremely challenging due to constantly changing traffic conditions. Advanced Graph Convolutional Networks (GCNs) are widely …
Dynamic spatiotemporal correlation graph convolutional network for traffic speed prediction,https://www.mdpi.com/2073-8994/16/3/308,Accurate and real-time traffic speed prediction remains challenging due to the irregularity and asymmetry of real-traffic road networks. Existing models based on graph convolutional …
