title,link,snippet
Conformal Load Prediction with Transductive Graph Autoencoders,https://arxiv.org/abs/2406.08281,"Predicting edge weights on graphs has various applications, from transportation systems to social networks. This paper describes a Graph Neural Network (GNN) approach for edge …"
Incorporating Domain Differential Equations into Graph Convolutional Networks to Lower Generalization Discrepancy,https://arxiv.org/abs/2404.01217,"Ensuring both accuracy and robustness in time series prediction is critical to many applications, ranging from urban planning to pandemic management. With sufficient training …"
SDSCNN: A Hybrid Model Integrating Static and Dynamic Spatial Correlation Neural Network for Traffic Prediction,https://ieeexplore.ieee.org/abstract/document/9953093/,"Traffic flow prediction is of great significance for traffic control, and it has been challenging for capturing the complex spatial-temporal correlation. However, most existing prediction …"
Improved Graph Neural Network With Graph Filtering Kernel and Generalized Nonconvex Norm Inspired by a Novel Unified Optimization Framework,https://link.springer.com/article/10.1007/s00034-024-02877-x,Graph neural network (GNN) is a powerful tool which has been achieving significant success via the prominent representation learning on the graph-structured data. However …
UMOD: A Novel and Effective Urban Metro Origin-Destination Flow Prediction Method,https://arxiv.org/abs/2409.04942,Accurate prediction of metro Origin-Destination (OD) flow is essential for the development of intelligent transportation systems and effective urban traffic management. Existing …
Informed Graph Learning By Domain Knowledge Injection and Smooth Graph Signal Representation,https://arxiv.org/abs/2406.03898,"Graph signal processing represents an important advancement in the field of data analysis, extending conventional signal processing methodologies to complex networks and thereby …"
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting,https://arxiv.org/abs/2404.11996,Accurate traffic forecasting is essential for effective urban planning and congestion management. Deep learning (DL) approaches have gained colossal success in traffic …
"Tracking the spatial dynamics of the synthetic opioid crisis in the USA, 2013-2020 using human mobility-based graph neural network",https://arxiv.org/abs/2409.09945,"Synthetic opioids are the most common drugs involved in drug-involved overdose mortalities in the US The Center for Disease Control and Prevention reported that in 2018, about 70 …"
Effective vaccination strategy using graph neural network ansatz,https://arxiv.org/abs/2111.00920,"The effectiveness of vaccination highly depends on the choice of individuals to vaccinate, even if the same number of individuals are vaccinated. Vaccinating individuals with high …"
A node graph using SEM images for material properties prediction with a case study of composite material,https://iopscience.iop.org/article/10.1088/1402-4896/ad385b/meta,Establishing a mapping model between the microstructure and material properties of composite materials is crucial for material development. Scanning electron microscope …
