title,link,snippet
Efficient mobile cellular traffic forecasting using spatial-temporal graph attention networks,https://ieeexplore.ieee.org/abstract/document/10294008/,Cellular traffic prediction is an essential aspect of mobile network management that uses data analytics and machine learning to forecast the volume and pattern of communication …
Spatial Data Intelligence and City Metaverse: a Review,https://www.sciencedirect.com/science/article/pii/S2667325823003527,"Abstract Spatial Data Intelligence (SDI) encompasses acquiring, storing, analyzing, mining, and visualizing spatial data to gain insights into the physical world and uncover valuable …"
Edge Graph Intelligence: Reciprocally Empowering Edge Networks with Graph Intelligence,https://arxiv.org/abs/2407.15320,"Recent years have witnessed a thriving growth of computing facilities connected at the network edge, cultivating edge computing networks as a fundamental infrastructure for …"
A short-term load forecasting method for integrated community energy system based on STGCN,https://www.sciencedirect.com/science/article/pii/S0378779624001536,"Accurate integrated energy load forecasting is a crucial prerequisite for energy scheduling and strategy formulation in integrated community energy systems. However, the complex …"
Re-imagining health and well-being in low resource African settings using an augmented AI system and a 3D digital twin,https://arxiv.org/abs/2306.01772,This paper discusses and explores the potential and relevance of recent developments in artificial intelligence (AI) and digital twins for health and well-being in low-resource African …
GCN-ST-MDIR: Graph convolutional network-based spatial-temporal missing air pollution data pattern identification and recovery,https://ieeexplore.ieee.org/abstract/document/10129038/,"Missing data pattern identification and recovery (MDIR) is vital for accurate air pollution monitoring. To recover the missing air pollution data, GCN-ST-MDIR, a Graph Convolutional …"
University Evaluation through Graduate Employment Prediction: An Influence based Graph Autoencoder Approach,https://ieeexplore.ieee.org/abstract/document/10533440/,"It is always challenging task for students to select right universities. For students, graduate job placement is the most important component of university quality. However, existing …"
Data-Driven Wildfire Spread Modeling of European Wildfires Using a Spatiotemporal Graph Neural Network,https://www.mdpi.com/2571-6255/7/6/207,"Wildfire spread models are an essential tool for mitigating catastrophic effects associated with wildfires. However, current operational models suffer from significant limitations …"
MaGnn: Binary-Source Code Matching by Modality-Sharing Graph Convolution for Binary Provenance Analysis,https://ieeexplore.ieee.org/abstract/document/10196875/,"The number and variety of binaries running on electrical devices, public clouds, and on-premise infrastructure have been increasing rapidly. Recent successful supply chain attacks …"
Graph neural network based on brain inspired forward-forward mechanism for motor imagery classification in brain-computer interfaces,https://www.frontiersin.org/articles/10.3389/fnins.2024.1309594/full,"Introduction Within the development of brain-computer interface (BCI) systems, it is crucial to consider the impact of brain network dynamics and neural signal transmission mechanisms …"
