title,link,snippet
"Flight delay propagation modeling: Data, Methods, and Future opportunities",https://www.sciencedirect.com/science/article/pii/S1366554524001169,"Persistent flight delays have continually posed a substantial challenge within the aviation sector. These delays infiltrate the air transportation network, precipitating disruptions to …"
Spatial-temporal graph attention fuser for calibration in iot air pollution monitoring systems,https://ieeexplore.ieee.org/abstract/document/10325090/,"The use of Internet of Things (IoT) sensors for air pollution monitoring has significantly increased, resulting in the deployment of low-cost sensors. Despite this advancement …"
Review on machine learning-based traffic flow prediction methods,https://transport.chd.edu.cn/en/article/doi/10.19818/j.cnki.1671-1637.2023.03.003,The research status and development trend of macro traffic flow prediction of designated road sections and regional road network at home and abroad were analyzed by literature …
PM2ECGCN: Parallelized spatial-temporal structures of multi-lead ECG with graph convolution network for multi-center cardiac disease diagnosis,https://www.sciencedirect.com/science/article/pii/S0957417424007358,"Cardiovascular diseases (CVDs) are the leading global cause of death. As first-line diagnostic tool for CVDs, electrocardiograms (ECG) non-invasively assess cardiac condition …"
Automatic incident detection using edge-cloud collaboration based deep learning scheme for intelligent transportation systems,https://link.springer.com/article/10.1007/s10489-023-04673-7,"Automatic incident detection not only plays an important role in traffic safety management, but also contributes to the operation of intelligent transportation systems. Although the …"
Graph Neural Network for spatiotemporal data: methods and applications,https://arxiv.org/abs/2306.00012,"In the era of big data, there has been a surge in the availability of data containing rich spatial and temporal information, offering valuable insights into dynamic systems and processes for …"
Adaptive Fusion Graph Convolutional Networks Based Interpretable Fault Diagnosis Method for HVAC Systems Enhanced by Unlabeled Data,https://www.sciencedirect.com/science/article/pii/S037877882401017X,"Fault diagnosis is critical in maintaining the operational stability and reliability of Heating, Ventilation, and Air Conditioning (HVAC) systems, which are crucial for ensuring indoor …"
Dynamic spatial Transformer WaveNet network for traffic forecasting,https://www.worldscientific.com/doi/abs/10.1142/S2196888822500324,Traffic forecasting has emerged as an important task for developing intelligent transportation systems. Recent works focus on representing traffic as graph operation and using graph …
Real-time spatio-temporal forecasting with dynamic urban event and vehicle-level flow information,https://wrap.warwick.ac.uk/175521/,Building a real-time spatio-temporal forecasting system is a challenging problem which has many practical applications such as traffic and road network management. Most forecasting …
"Traffic flow prediction using big data and gis: a survey of data sources, frameworks, challenges, and opportunities",https://journals.uob.edu.bh/handle/123456789/4914,"Big Data has been utilized extensively in numerous fields, including the transportation sector. Using several sources of data, traffic conditions can be accurately anticipated and …"
