title,link,snippet
IV-GNN: interval valued data handling using graph neural network,https://link.springer.com/article/10.1007/s10489-022-03780-1,"Interval-valued data is an effective way to represent complex information where uncertainty, inaccuracy etc. are involved in the data space and they are worthy of taking into account …"
Application of Spatial Temporal Graph Neural Networks for Forecasting Data Time Series River Pollution Waste Content in Probolinggo,https://www.atlantis-press.com/proceedings/iconnsmal-22/125987147,Flooding has become a serious problem in Probolinggo. One of the causes of flooding is the accumulation of garbage in the river. Garbage can also cause river water pollution. To …
Recent Advances in Graph-based Machine Learning for Applications in Smart Urban Transportation Systems,https://arxiv.org/abs/2306.01282,"The Intelligent Transportation System (ITS) is an important part of modern transportation infrastructure, employing a combination of communication technology, information …"
An Efficient Skip Link-based Traffic Prediction Algorithm with Multi-Scale Feature Extraction,https://ieeexplore.ieee.org/abstract/document/10566931/,"Traffic prediction is an important component in the development of Intelligent Transportation Systems (ITS). To improve the accuracy of traffic prediction, many existing studies focus on …"
Using Machine Learning and Deep learning for traffic congestion prediction: a review,https://www.elgaronline.com/edcollchap/book/9781803929545/book-part-9781803929545-11.xml,"With the acceleration of urbanisation, decreased vehicle prices and increased population in many cities, traffic demand has been rapidly increasing in recent years. Urban road traffic …"
Traffic Forecasting & Route Optimization in Smart Environment Using Graph Representation Learning,https://ieeexplore.ieee.org/abstract/document/10293287/,"Route optimization and traffic forecasting play pivotal roles in efficient traffic management and the development of intelligent transportation systems in smart cities. In tandem, traffic …"
A Highly Efficient and Effective Attribute Learning Framework for Road Graph from Aerial Imagery and GPS,https://dl.acm.org/doi/abs/10.1145/3615833.3628594,"Road attributes play a pivotal role in digital maps, providing critical information for various routing and planning applications that aim to create a safe and efficient traffic environment …"
Hypernetwork Temporal Embedding for Graph,https://ieeexplore.ieee.org/abstract/document/10387072/,"Representation learning on temporal graphs has been a crucial facilitator in uncovering insights from real-world temporal graphs. In previous approaches, a common practice was to …"
Forecasting is all we need: Adapting graph neural network methods for a peer-to-peer sharing economy platform,https://ieeexplore.ieee.org/abstract/document/10675887/,Estimating events in the near future with the help of forecasting techniques is undoubtedly of crucial importance in practice and facilitates decision-making from a management …
7 Intelligent Spatial,https://books.google.com/books?hl=en&lr=&id=liXpEAAAQBAJ&oi=fnd&pg=PA121&ots=CO6eMh0O_2&sig=iFw_yNhlH4JiRRA5mFGEFlAHLeg,"The necessity to obtain accurate predictions from observed data can be found in all scientific disciplines (Cressie, 2015). Measurements of geographic variables (phenomena) are …"
