title,link,snippet
A survey on long text modeling with transformers,https://arxiv.org/abs/2302.14502,"Modeling long texts has been an essential technique in the field of natural language processing (NLP). With the ever-growing number of long documents, it is important to …"
Hierarchical Attention Graph for Scientific Document Summarization in Global and Local Level,https://arxiv.org/abs/2405.10202,Scientific document summarization has been a challenging task due to the long structure of the input text. The long input hinders the simultaneous effective modeling of both global high …
Contrastive hierarchical discourse graph for scientific document summarization,https://par.nsf.gov/servlets/purl/10464336,"The extended structural context has made scientific paper summarization a challenging task. This paper proposes CHANGES, a contrastive hierarchical graph neural network for …"
Integrating Topic-Aware Heterogeneous Graph Neural Network with Transformer Model for Medical Scientific Document Abstractive Summarization,https://ieeexplore.ieee.org/abstract/document/10637403/,"The development of abstractive summarization methods is a crucial task in Natural Language Processing (NLP) that presents challenges, which require the creation of …"
Improving Faithfulness of Large Language Models in Summarization via Sliding Generation and Self-Consistency,https://aclanthology.org/2024.lrec-main.771/,"Despite large language models (LLMs) have demonstrated impressive performance in various tasks, they are still suffering from the factual inconsistency problem called …"
Enhanced topic-aware summarization using statistical graph neural networks,https://researchportal.port.ac.uk/en/publications/enhanced-topic-aware-summarization-using-statistical-graph-neural,The rapid expansion of online content and big data has precipitated an urgent need for efficient summarization techniques to swiftly comprehend vast textual documents without …
Heterogeneous graphormer for extractive multimodal summarization,https://link.springer.com/article/10.1007/s10844-024-00886-5,Multimodal summarization with multimodal output (MSMO) aims to generate summaries that incorporate both text and images. Existing methods have not effectively leveraged …
Automated Speaking Assessment of Conversation Tests with Novel Graph-based Modeling on Spoken Response Coherence,https://arxiv.org/abs/2409.07064,Automated speaking assessment in conversation tests (ASAC) aims to evaluate the overall speaking proficiency of an L2 (second-language) speaker in a setting where an interlocutor …
VTCC-NLP at SemEval-2023 Task 6: Long-Text Representation Based on Graph Neural Network for Rhetorical Roles Prediction,https://aclanthology.org/2023.semeval-1.155/,"Rhetorical Roles (RR) prediction is to predict the label of each sentence in legal documents, which is regarded as an emergent task for legal document understanding. In this study, we …"
FHSI-GNN: Fusion Hierarchical Structure Information Graph Neural Network for Extractive Long Documents Summarization,https://link.springer.com/chapter/10.1007/978-981-99-8138-0_12,"Extractive text summarization aims to select salient sentences from documents. However, most existing extractive methods struggle to capture inter-sentence relations in long …"
