title,link,snippet
Spatio-temporal dynamic graph relation learning for urban metro flow prediction,https://ieeexplore.ieee.org/abstract/document/10107812/,"Urban metro flow prediction is of great value for metro operation scheduling, passenger flow management and personal travel planning. However, the problem is challenging. First …"
Graph attention network with spatial-temporal clustering for traffic flow forecasting in intelligent transportation system,https://ieeexplore.ieee.org/abstract/document/9912369/,"With the development of the Internet of Things (IoT) and 5G technologies, IoT devices deployed on roads are able to collect a large amount of traffic data at any time. Road …"
Dynamic Causal Explanation Based Diffusion-Variational Graph Neural Network for Spatiotemporal Forecasting,https://ieeexplore.ieee.org/abstract/document/10589693/,"Graph neural networks (GNNs), especially dynamic GNNs, have become a research hotspot in spatiotemporal forecasting problems. While many dynamic graph construction methods …"
Mask-guided spatial–temporal graph neural network for multifrequency electrical impedance tomography,https://ieeexplore.ieee.org/abstract/document/9853625/,Multifrequency electrical impedance tomography (mfEIT) is an emerging biomedical imaging modality that exploits frequency-dependent electrical properties. The mfEIT image …
Gnn cleaner: Label cleaner for graph structured data,https://ieeexplore.ieee.org/abstract/document/10158394/,"Graph Neural Network (GNN) has emerged as a predominant tool for graph data analysis. Despite their proliferation, the low-quality labels of many real-world graphs will undermine …"
Spatio-temporal fusion of meteorological factors for multi-site PM2. 5 prediction: A deep learning and time-variant graph approach,https://www.sciencedirect.com/science/article/pii/S001393512302090X,"In the field of environmental science, traditional methods for predicting PM2. 5 concentrations primarily focus on singular temporal or spatial dimensions. This approach …"
"Deep representation learning: Fundamentals, technologies, applications, and open challenges",https://ieeexplore.ieee.org/abstract/document/10323465/,Machine learning algorithms have had a profound impact on the field of computer science over the past few decades. The performance of these algorithms heavily depends on the …
Graph ensemble deep random vector functional link network for traffic forecasting,https://www.sciencedirect.com/science/article/pii/S1568494622008584,"Traffic forecasting is crucial to achieving a smart city as it facilitates public transportation management, autonomous driving, and the resource relocation of the sharing economy …"
Multiscale graph based spatio-temporal graph convolutional network for energy consumption prediction of natural gas transmission process,https://www.sciencedirect.com/science/article/pii/S0360544224022631,"Energy consumption prediction is crucial for planning and managing natural gas networks, enhancing transmission efficiency. However, most of relevant studies fail to consider the …"
Vulnerability detection via multiple-graph-based code representation,https://ieeexplore.ieee.org/abstract/document/10596932/,"During software development and maintenance, vulnerability detection is an essential part of software quality assurance. Even though many program-analysis-based and machine …"
