title,link,snippet
Knowledge graphs meet multi-modal learning: A comprehensive survey,https://arxiv.org/abs/2402.05391,"Knowledge Graphs (KGs) play a pivotal role in advancing various AI applications, with the semantic web community's exploration into multi-modal dimensions unlocking new avenues …"
Debiased learning from naturally imbalanced pseudo-labels,http://openaccess.thecvf.com/content/CVPR2022/html/Wang_Debiased_Learning_From_Naturally_Imbalanced_Pseudo-Labels_CVPR_2022_paper.html,"This work studies the bias issue of pseudo-labeling, a natural phenomenon that widely occurs but often overlooked by prior research. Pseudo-labels are generated when a …"
Zero-shot and few-shot learning with knowledge graphs: A comprehensive survey,https://ieeexplore.ieee.org/abstract/document/10144560/,"Machine learning (ML), especially deep neural networks, has achieved great success, but many of them often rely on a number of labeled samples for supervision. As sufficient …"
Does clip bind concepts? probing compositionality in large image models,https://arxiv.org/abs/2212.10537,"Large-scale neural network models combining text and images have made incredible progress in recent years. However, it remains an open question to what extent such models …"
Commonsense knowledge powered heterogeneous graph attention networks for semi-supervised short text classification,https://www.sciencedirect.com/science/article/pii/S0957417423013027,"In real-world scenarios, considerable human power and expert knowledge are required to label data. Therefore, solving short text classification problems in a semi-supervised manner …"
Zero-shot node classification with graph contrastive embedding network,https://openreview.net/forum?id=8wGXnjRLSy,"This paper studies zero-shot node classification, which aims to predict new classes (ie, unseen classes) of nodes in a graph. This problem is challenging yet promising in a variety …"
Fusing external knowledge resources for natural language understanding techniques: A survey,https://www.sciencedirect.com/science/article/pii/S1566253522002354,"Abstract Knowledge resources, eg knowledge graphs, which formally represent essential semantics and information for logic inference and reasoning, can compensate for the …"
Zero-shot surface defect recognition with class knowledge graph,https://www.sciencedirect.com/science/article/pii/S1474034622002713,"Convolutional neural networks (CNNs)-based methods achieve excellent performance on surface defects that belong to the same base classes from a training set, which plays an …"
Kvl-bert: Knowledge enhanced visual-and-linguistic bert for visual commonsense reasoning,https://www.sciencedirect.com/science/article/pii/S0950705121006705,"Abstract Reasoning is a critical ability towards complete visual understanding. To develop machine with cognition-level visual understanding and reasoning abilities, the visual …"
Deep semantic-visual alignment for zero-shot remote sensing image scene classification,https://www.sciencedirect.com/science/article/pii/S0924271623000527,"Deep neural networks have achieved promising progress in remote sensing (RS) image classification, for which the training process requires abundant samples for each class …"
