title,link,snippet
Hybrid Graph Models for Traffic Prediction,https://www.mdpi.com/2076-3417/13/15/8673,"Obtaining accurate road conditions is crucial for traffic management, dynamic route planning, and intelligent guidance services. The complex spatial correlation and nonlinear …"
Topology augmented dynamic spatial-temporal network for passenger flow forecasting in urban rail transit,https://link.springer.com/article/10.1007/s10489-023-04651-z,"Millions of residents travel by urban rail transit (URT) every day, and it is meaningful to accurately predict passenger flows for the purpose of intelligent system management …"
Trajbert: Bert-based trajectory recovery with spatial-temporal refinement for implicit sparse trajectories,https://ieeexplore.ieee.org/abstract/document/10189092/,"In the realm of human mobility data analysis, a multitude of constraints result in the publication of sparse, non-uniform implicit trajectories without explicit location information …"
Graph neural networks and open-government data to forecast traffic flow,https://www.mdpi.com/2078-2489/14/4/228,"Traffic forecasting has been an important area of research for several decades, with significant implications for urban traffic planning, management, and control. In recent years …"
An attention-based deep learning model for citywide traffic flow forecasting,https://www.tandfonline.com/doi/abs/10.1080/17538947.2022.2028912,"Prompt and accurate traffic flow forecasting is a key foundation of urban traffic management. However, the flows in different areas and feature channels (inflow/outflow) may correspond …"
Geometric algebra graph neural network for cross-domain few-shot classification,https://link.springer.com/article/10.1007/s10489-021-03124-5,"Graph neural networks (GNNs) show powerful processing ability on graph structure data for nodes and graph classification. However, existing GNN models may cause information loss …"
A spatial–temporal hypergraph based method for service recommendation in the Mobile Internet of Things-enabled service platform,https://www.sciencedirect.com/science/article/pii/S1474034623001660,"With the rapid progress of Mobile Internet of Things (MIoT), Location-Based Services (LBSs) have become widely popular due to the deployment of diverse devices and facilities. The …"
Improving expressivity of gnns with subgraph-specific factor embedded normalization,https://dl.acm.org/doi/abs/10.1145/3580305.3599388,"Graph Neural Networks~(GNNs) have emerged as a powerful category of learning architecture for handling graph-structured data. However, existing GNNs typically ignore …"
STGAFormer: Spatial–temporal Gated Attention Transformer based Graph Neural Network for traffic flow forecasting,https://www.sciencedirect.com/science/article/pii/S156625352400006X,"Traffic flow prediction is a critical component of Intelligent Transportation Systems (ITS). However, the dynamic temporal variations in traffic flow, especially in potential occurrence of …"
Neural Collaborative Filtering to Detect Anomalies in Human Semantic Trajectories,https://arxiv.org/abs/2409.18427,"Human trajectory anomaly detection has become increasingly important across a wide range of applications, including security surveillance and public health. However, existing …"
