title,link,snippet
Spatial regression graph convolutional neural networks: A deep learning paradigm for spatial multivariate distributions,https://link.springer.com/article/10.1007/s10707-021-00454-x,Geospatial artificial intelligence (GeoAI) has emerged as a subfield of GIScience that uses artificial intelligence approaches and machine learning techniques for geographic …
A new approach to COVID-19 data mining: A deep spatial–temporal prediction model based on tree structure for traffic revitalization index,https://www.sciencedirect.com/science/article/pii/S0169023X23000538,The outbreak of the COVID-19 epidemic has had a huge impact on a global scale and its impact has covered almost all human industries. The Chinese government enacted a series …
Explainable spatially explicit geospatial artificial intelligence in urban analytics,https://journals.sagepub.com/doi/abs/10.1177/23998083231204689,"Geospatial artificial intelligence (GeoAI) is proliferating in urban analytics, where graph neural networks (GNNs) have become one of the most popular methods in recent years …"
Learning from explainable data-driven tunneling graphs: A spatio-temporal graph convolutional network for clogging detection,https://www.sciencedirect.com/science/article/pii/S0926580523000018,"Clogging challenges caused by mud cake in shield tunneling can hinder the efficiency, making it of great significance for clogging detection during tunneling. However, low …"
Multi-sensor fusion fault diagnosis method of wind turbine bearing based on adaptive convergent viewable neural networks,https://www.sciencedirect.com/science/article/pii/S0951832024000553,"Effective condition monitoring and fault diagnosis of rolling bearings, integral components of rotating machinery, are crucial for ensuring equipment reliability. However, existing …"
Graph Neural Networks (GNNs) based accelerated numerical simulation,https://www.sciencedirect.com/science/article/pii/S0952197623005547,Finite element method (FEM) based high-fidelity simulation can be computationally demanding and time-consuming as engineering problems become more complicated. It is …
A survey on graph neural networks in intelligent transportation systems,https://arxiv.org/abs/2401.00713,"Intelligent Transportation System (ITS) is vital in improving traffic congestion, reducing traffic accidents, optimizing urban planning, etc. However, due to the complexity of the traffic …"
Differentiable turbulence ii,https://arxiv.org/abs/2307.13533,Differentiable fluid simulators are increasingly demonstrating value as useful tools for developing data-driven models in computational fluid dynamics (CFD). Differentiable …
DyGCN-LSTM: A dynamic GCN-LSTM based encoder-decoder framework for multistep traffic prediction,https://link.springer.com/article/10.1007/s10489-023-04871-3,"Intelligent transportation systems (ITS) are gaining attraction in large cities for better traffic management. Traffic forecasting is an important part of ITS, but a difficult one due to the …"
Unsupervised anomaly detection based method of risk evaluation for road traffic accident,https://link.springer.com/article/10.1007/s10489-022-03501-8,"Elevated road plays a very important role as corridors in urban traffic network, and the occurrence of traffic accidents often causes a great impact. In that sense, we propose a …"
